"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Let's talk about Brett Kavanaugh's past rulings on guns. He's out of the mainstream, even among other conservative… https://t.co/BedFr6xghR",FALSE,34165,NA,2018-09-13 18:52:56,TRUE,NA,"1040312390569664512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",10448,FALSE,FALSE,NA,NA
"The administration is now seven weeks late in meeting its deadline to reunite families they separated at the border… https://t.co/8ybhInncyd",FALSE,62833,NA,2018-09-13 13:54:40,TRUE,NA,"1040237329779179521",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",20978,FALSE,FALSE,NA,NA
"Congrats to the great @barb_kinney on her new book collecting her photos from the campaign trail in 2016. She captu… https://t.co/X0I1vQmz5d",FALSE,18168,NA,2018-09-12 21:30:42,TRUE,NA,"1039989704953876481",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",3425,FALSE,FALSE,NA,NA
"We've already seen the heartbreaking damage that detention can do to kids. It's terrible to think of what could hap… https://t.co/0sT85QEPZm",FALSE,8971,"HillaryClinton",2018-09-12 19:31:10,TRUE,"1039959620071174149","1039959622373789702","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",3587,FALSE,FALSE,NA,NA
"This went under the radar last week, but we all need to speak out about it. 

The administration has moved to chang… https://t.co/IaX34u20Ai",FALSE,17596,NA,2018-09-12 19:31:09,TRUE,NA,"1039959620071174149",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",10703,FALSE,FALSE,NA,NA
".@VotoLatino just set out an ambitious goal for 2018: register over 200,000 Latinx voters in Arizona, Florida, Neva… https://t.co/FcWQOsAMs9",FALSE,5000,NA,2018-09-12 19:01:41,TRUE,NA,"1039952205158273024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",2305,FALSE,FALSE,NA,NA
"This is exciting. @DrLeanaWen has dedicated her career to making sure vulnerable communities get access to the care… https://t.co/R5gqgmevyn",FALSE,17747,NA,2018-09-12 18:31:47,TRUE,NA,"1039944680488820738",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",4070,FALSE,FALSE,NA,NA
"RT @runforsomething: Want to meet the REAL unsung heroes? Check out some of the inspiring teachers who have decided to run for office this…",FALSE,0,NA,2018-09-12 14:09:23,FALSE,NA,"1039878643365888000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",502,TRUE,FALSE,NA,NA
"Let’s be clear: Women have just as much right as men to make the most personal health decisions without government… https://t.co/DaOINC9vmz",FALSE,38880,"HillaryClinton",2018-09-12 13:14:52,TRUE,"1039864923365539840","1039864924552548352","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",10610,FALSE,FALSE,NA,NA
"Sen. @kamalaharris asked Brett Kavanaugh last week: ""Can you think of any laws that give the government the power t… https://t.co/800LxmLm9M",FALSE,28401,"HillaryClinton",2018-09-12 13:14:52,TRUE,"1039864922002386944","1039864923365539840","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",6190,FALSE,FALSE,NA,NA
"Imagine an America in which women are barred from getting IUDs or birth control pills, and doctors are criminalized… https://t.co/CErn4OkySu",FALSE,15375,"HillaryClinton",2018-09-12 13:14:51,TRUE,"1039864919573909506","1039864922002386944","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",4258,FALSE,FALSE,NA,NA
"When Kavanaugh called birth control ""abortion-inducing drugs,"" he made it clear that safe and legal abortion isn't… https://t.co/itz6e2puyq",FALSE,15687,"HillaryClinton",2018-09-12 13:14:51,TRUE,"1039864915631190018","1039864919573909506","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",4602,FALSE,FALSE,NA,NA
"Kavanaugh didn't use that term because he misunderstands the basic  science of birth control—the fact that birth co… https://t.co/FaUDJTnx8M",FALSE,18219,"HillaryClinton",2018-09-12 13:14:50,TRUE,"1039864914486149121","1039864915631190018","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",4619,FALSE,FALSE,NA,NA
"I want to be sure we're all clear about something that Brett Kavanaugh said in his confirmation hearings last week.… https://t.co/zRinLozUbP",FALSE,137115,NA,2018-09-12 13:14:50,TRUE,NA,"1039864914486149121",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",40878,FALSE,FALSE,NA,NA
"May we always remember those we lost 17 years ago. May the love, bravery, and selflessness so many showed that day light our path forward.",FALSE,147970,NA,2018-09-11 15:28:30,FALSE,NA,"1039536164947062785",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",23490,FALSE,FALSE,NA,NA
"RT @voxdotcom: When women are paid less for doing the same work as their male peers, it affects us all. 

@HillaryClinton weighs in for thi…",FALSE,0,NA,2018-09-07 17:47:18,FALSE,NA,"1038121546294779904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1211,TRUE,FALSE,NA,NA
"This took courage. Thank you, David, for speaking out. Now let’s turn to the future and mobilize people for the mid… https://t.co/iMdba6xvyE",FALSE,43605,NA,2018-09-07 17:47:04,TRUE,NA,"1038121485263560704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",13684,FALSE,FALSE,NA,NA
"We're not fighting for the planet in some abstract sense here. We're fighting for our continued ability to live on… https://t.co/0p1igAAQdV",FALSE,19163,"HillaryClinton",2018-09-07 12:43:40,TRUE,"1038045130840657920","1038045131998285825","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",5603,FALSE,FALSE,NA,NA
"Just last year, Kavanaugh ruled that the EPA's attempt to phase out hydrofluorocarbons, a particularly dangerous gr… https://t.co/cOn1S9qGUe",FALSE,11781,"HillaryClinton",2018-09-07 12:43:39,TRUE,"1038045126394671104","1038045130840657920","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",3399,FALSE,FALSE,NA,NA
"In 2016, he argued that the Clean Air Act was a ""thin statute"" to support the Obama administration's Clean Power Pl… https://t.co/FJ7ybsfP5n",FALSE,3090,"HillaryClinton",2018-09-07 12:43:38,TRUE,"1038045123634855936","1038045126394671104","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1096,FALSE,FALSE,NA,NA
"Kavanaugh wrote a majority opinion for the D.C. Circuit Court in 2012 that struck down a federal program to curb cr… https://t.co/gfxGUvNod0",FALSE,3395,"HillaryClinton",2018-09-07 12:43:38,TRUE,"1038045121265057792","1038045123634855936","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1359,FALSE,FALSE,NA,NA
"During the Obama years, Kavanaugh came down against the EPA in every one of the three major cases he heard about th… https://t.co/zcWUiEFWHN",FALSE,4017,"HillaryClinton",2018-09-07 12:43:37,TRUE,"1038045120031903744","1038045121265057792","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1846,FALSE,FALSE,NA,NA
"Replacing Kennedy with Kavanaugh would swing the Court to a new, hard-right majority that would rule against curbin… https://t.co/OvBmhffK0H",FALSE,4279,"HillaryClinton",2018-09-07 12:43:37,TRUE,"1038045118995939329","1038045120031903744","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1615,FALSE,FALSE,NA,NA
